time	sig 0	sig 1
  3.141	  0.195	  0.105
  3.148	  0.175	  0.095
  3.156	 -0.475	 -0.495
  3.164	 -0.585	 -0.625
  3.172	 -0.565	 -0.615
  3.180	 -0.555	 -0.605
  3.188	 -0.555	 -0.595
  3.195	 -0.545	 -0.595
  3.203	 -0.545	 -0.585
  3.211	 -0.535	 -0.585
  3.219	 -0.525	 -0.575
  3.227	 -0.515	 -0.565
  3.234	 -0.515	 -0.555
  3.242	 -0.505	 -0.545
  3.250	 -0.505	 -0.545
  3.258	 -0.495	 -0.535
  3.266	 -0.485	 -0.535
  3.273	 -0.485	 -0.515
  3.281	 -0.475	 -0.515
  3.289	 -0.465	 -0.505
  3.297	 -0.455	 -0.505
  3.305	 -0.445	 -0.495
  3.312	 -0.445	 -0.485
  3.320	 -0.435	 -0.485
  3.328	 -0.435	 -0.475
  3.336	 -0.415	 -0.465
  3.344	 -0.415	 -0.465
  3.352	 -0.405	 -0.455
  3.359	 -0.395	 -0.455
  3.367	 -0.395	 -0.445
  3.375	 -0.385	 -0.435
  3.383	 -0.385	 -0.425
  3.391	 -0.375	 -0.425
  3.398	 -0.365	 -0.415
  3.406	 -0.365	 -0.415
  3.414	 -0.355	 -0.405
  3.422	 -0.355	 -0.405
  3.430	 -0.345	 -0.395
  3.438	 -0.335	 -0.385
  3.445	 -0.335	 -0.385
  3.453	 -0.335	 -0.385
  3.461	 -0.325	 -0.375
  3.469	 -0.325	 -0.365
  3.477	 -0.325	 -0.365
  3.484	 -0.315	 -0.355
  3.492	 -0.305	 -0.355
  3.500	 -0.305	 -0.345
  3.508	 -0.295	 -0.345
  3.516	 -0.295	 -0.345
  3.523	 -0.295	 -0.335
  3.531	 -0.285	 -0.325
  3.539	 -0.275	 -0.325
  3.547	 -0.275	 -0.315
  3.555	 -0.275	 -0.315
  3.562	 -0.275	 -0.305
  3.570	 -0.265	 -0.305
  3.578	 -0.255	 -0.305
  3.586	 -0.245	 -0.295
  3.594	 -0.245	 -0.285
  3.602	 -0.245	 -0.275
  3.609	 -0.235	 -0.285
  3.617	 -0.225	 -0.275
  3.625	 -0.215	 -0.265
  3.633	 -0.215	 -0.255
  3.641	 -0.205	 -0.255
  3.648	 -0.195	 -0.235
  3.656	  0.415	  0.255
  3.664	  0.615	  0.495
  3.672	  0.585	  0.465
  3.680	  0.565	  0.465
  3.688	  0.565	  0.455
  3.695	  0.555	  0.455
  3.703	  0.545	  0.445
  3.711	  0.545	  0.435
  3.719	  0.535	  0.425
  3.727	  0.525	  0.425
  3.734	  0.515	  0.415
  3.742	  0.515	  0.405
  3.750	  0.505	  0.395
  3.758	  0.495	  0.395
  3.766	  0.485	  0.385
  3.773	  0.485	  0.375
  3.781	  0.475	  0.375
  3.789	  0.465	  0.375
  3.797	  0.455	  0.355
  3.805	  0.455	  0.355
  3.812	  0.445	  0.355
  3.820	  0.435	  0.345
  3.828	  0.425	  0.335
  3.836	  0.425	  0.335
  3.844	  0.415	  0.325
  3.852	  0.405	  0.325
  3.859	  0.395	  0.305
  3.867	  0.395	  0.305
  3.875	  0.395	  0.295
  3.883	  0.385	  0.295
  3.891	  0.375	  0.285
  3.898	  0.365	  0.285
  3.906	  0.365	  0.275
  3.914	  0.355	  0.275
  3.922	  0.345	  0.265
  3.930	  0.345	  0.255
  3.938	  0.345	  0.255
  3.945	  0.335	  0.245
  3.953	  0.315	  0.235
  3.961	  0.315	  0.235
  3.969	  0.315	  0.235
  3.977	  0.305	  0.235
  3.984	  0.295	  0.225
  3.992	  0.295	  0.215
  4.000	  0.295	  0.215
  4.008	  0.285	  0.205
  4.016	  0.275	  0.195
  4.023	  0.275	  0.195
  4.031	  0.265	  0.195
  4.039	  0.265	  0.185
  4.047	  0.255	  0.185
  4.055	  0.255	  0.175
  4.062	  0.245	  0.175
  4.070	  0.235	  0.175
  4.078	  0.235	  0.165
  4.086	  0.225	  0.165
  4.094	  0.225	  0.155
  4.102	  0.215	  0.155
  4.109	  0.215	  0.145
  4.117	  0.205	  0.145
  4.125	  0.195	  0.135
  4.133	  0.185	  0.135
  4.141	  0.175	  0.115
  4.148	  0.215	  0.165
  4.156	 -0.645	 -0.565
  4.164	 -0.625	 -0.585
  4.172	 -0.605	 -0.575
  4.180	 -0.595	 -0.565
  4.188	 -0.585	 -0.565
  4.195	 -0.585	 -0.555
  4.203	 -0.575	 -0.555
  4.211	 -0.565	 -0.545
  4.219	 -0.565	 -0.535
  4.227	 -0.545	 -0.535
  4.234	 -0.545	 -0.535
  4.242	 -0.535	 -0.525
  4.250	 -0.525	 -0.515
  4.258	 -0.515	 -0.505
  4.266	 -0.515	 -0.505
  4.273	 -0.505	 -0.495
  4.281	 -0.495	 -0.485
  4.289	 -0.495	 -0.485
  4.297	 -0.475	 -0.475
  4.305	 -0.475	 -0.465
  4.312	 -0.465	 -0.465
  4.320	 -0.455	 -0.455
  4.328	 -0.455	 -0.455
  4.336	 -0.445	 -0.445
  4.344	 -0.435	 -0.435
  4.352	 -0.425	 -0.425
  4.359	 -0.415	 -0.425
  4.367	 -0.415	 -0.415
  4.375	 -0.405	 -0.405
  4.383	 -0.405	 -0.405
  4.391	 -0.405	 -0.405
  4.398	 -0.385	 -0.395
  4.406	 -0.385	 -0.385
  4.414	 -0.385	 -0.385
  4.422	 -0.375	 -0.375
  4.430	 -0.365	 -0.365
  4.438	 -0.355	 -0.365
  4.445	 -0.355	 -0.355
  4.453	 -0.345	 -0.355
  4.461	 -0.345	 -0.345
  4.469	 -0.335	 -0.335
  4.477	 -0.335	 -0.335
  4.484	 -0.325	 -0.325
  4.492	 -0.315	 -0.325
  4.500	 -0.305	 -0.315
  4.508	 -0.305	 -0.315
  4.516	 -0.295	 -0.315
  4.523	 -0.285	 -0.305
  4.531	 -0.275	 -0.295
  4.539	 -0.275	 -0.295
  4.547	 -0.265	 -0.285
  4.555	 -0.265	 -0.285
  4.562	 -0.255	 -0.275
  4.570	 -0.255	 -0.275
  4.578	 -0.245	 -0.265
  4.586	 -0.245	 -0.265
  4.594	 -0.235	 -0.255
  4.602	 -0.235	 -0.255
  4.609	 -0.225	 -0.255
  4.617	 -0.225	 -0.245
  4.625	 -0.215	 -0.235
  4.633	 -0.215	 -0.225
  4.641	 -0.205	 -0.225
  4.648	 -0.185	 -0.215
  4.656	  0.445	  0.335
  4.664	  0.605	  0.505
  4.672	  0.575	  0.485
  4.680	  0.575	  0.475
  4.688	  0.565	  0.475
  4.695	  0.565	  0.465
  4.703	  0.555	  0.455
  4.711	  0.545	  0.455
  4.719	  0.535	  0.445
  4.727	  0.525	  0.435
  4.734	  0.525	  0.435
  4.742	  0.515	  0.425
  4.750	  0.495	  0.425
  4.758	  0.495	  0.415
  4.766	  0.485	  0.405
  4.773	  0.475	  0.395
  4.781	  0.465	  0.385
  4.789	  0.465	  0.385
  4.797	  0.455	  0.375
  4.805	  0.445	  0.375
  4.812	  0.435	  0.375
  4.820	  0.425	  0.355
  4.828	  0.415	  0.355
  4.836	  0.415	  0.345
  4.844	  0.405	  0.345
  4.852	  0.395	  0.335
  4.859	  0.385	  0.325
  4.867	  0.385	  0.315
  4.875	  0.375	  0.315
  4.883	  0.375	  0.315
  4.891	  0.355	  0.305
  4.898	  0.355	  0.295
  4.906	  0.345	  0.285
  4.914	  0.345	  0.285
  4.922	  0.335	  0.275
  4.930	  0.335	  0.275
  4.938	  0.325	  0.265
  4.945	  0.315	  0.265
  4.953	  0.315	  0.255
  4.961	  0.305	  0.255
  4.969	  0.295	  0.245
  4.977	  0.295	  0.235
  4.984	  0.285	  0.235
  4.992	  0.285	  0.225
  5.000	  0.275	  0.225
  5.008	  0.275	  0.225
  5.016	  0.265	  0.215
  5.023	  0.265	  0.215
  5.031	  0.255	  0.205
  5.039	  0.255	  0.205
  5.047	  0.245	  0.195
  5.055	  0.245	  0.195
  5.062	  0.235	  0.195
  5.070	  0.235	  0.185
  5.078	  0.225	  0.175
  5.086	  0.225	  0.175
  5.094	  0.215	  0.175
  5.102	  0.215	  0.165
  5.109	  0.205	  0.155
  5.117	  0.205	  0.155
  5.125	  0.195	  0.155
  5.133	  0.185	  0.145
  5.141	  0.185	  0.135
  5.148	  0.165	  0.125
  5.156	 -0.315	 -0.245
  5.164	 -0.645	 -0.595
  5.172	 -0.625	 -0.575
  5.180	 -0.605	 -0.565
  5.188	 -0.595	 -0.565
  5.195	 -0.595	 -0.555
  5.203	 -0.595	 -0.555
  5.211	 -0.585	 -0.545
  5.219	 -0.575	 -0.535
  5.227	 -0.575	 -0.525
  5.234	 -0.565	 -0.525
  5.242	 -0.555	 -0.515
  5.250	 -0.545	 -0.505
  5.258	 -0.545	 -0.495
  5.266	 -0.535	 -0.495
  5.273	 -0.525	 -0.485
  5.281	 -0.515	 -0.475
  5.289	 -0.515	 -0.475
  5.297	 -0.505	 -0.465
  5.305	 -0.495	 -0.455
  5.312	 -0.485	 -0.455
  5.320	 -0.485	 -0.445
  5.328	 -0.475	 -0.445
  5.336	 -0.465	 -0.435
  5.344	 -0.465	 -0.425
  5.352	 -0.455	 -0.415
  5.359	 -0.445	 -0.425
  5.367	 -0.435	 -0.415
  5.375	 -0.425	 -0.405
  5.383	 -0.425	 -0.395
  5.391	 -0.425	 -0.395
  5.398	 -0.415	 -0.385
  5.406	 -0.405	 -0.375
  5.414	 -0.405	 -0.375
  5.422	 -0.395	 -0.375
  5.430	 -0.385	 -0.365
  5.438	 -0.375	 -0.355
  5.445	 -0.375	 -0.345
  5.453	 -0.365	 -0.345
  5.461	 -0.365	 -0.345
  5.469	 -0.355	 -0.335
  5.477	 -0.345	 -0.325
  5.484	 -0.345	 -0.325
  5.492	 -0.335	 -0.325
  5.500	 -0.325	 -0.315
  5.508	 -0.325	 -0.305
  5.516	 -0.325	 -0.305
  5.523	 -0.315	 -0.305
  5.531	 -0.305	 -0.295
  5.539	 -0.305	 -0.295
  5.547	 -0.305	 -0.285
  5.555	 -0.295	 -0.285
  5.562	 -0.295	 -0.275
  5.570	 -0.285	 -0.275
  5.578	 -0.285	 -0.275
  5.586	 -0.285	 -0.265
  5.594	 -0.275	 -0.255
  5.602	 -0.265	 -0.255
  5.609	 -0.265	 -0.255
  5.617	 -0.255	 -0.245
  5.625	 -0.255	 -0.245
  5.633	 -0.245	 -0.235
  5.641	 -0.235	 -0.225
  5.648	 -0.225	 -0.215
  5.656	 -0.045	 -0.065
  5.664	  0.585	  0.525
  5.672	  0.555	  0.495
  5.680	  0.545	  0.485
  5.688	  0.545	  0.485
  5.695	  0.535	  0.475
  5.703	  0.525	  0.465
  5.711	  0.515	  0.465
  5.719	  0.505	  0.455
  5.727	  0.495	  0.445
  5.734	  0.495	  0.435
  5.742	  0.485	  0.425
  5.750	  0.475	  0.425
  5.758	  0.465	  0.415
  5.766	  0.455	  0.405
  5.773	  0.455	  0.405
  5.781	  0.435	  0.395
  5.789	  0.435	  0.385
  5.797	  0.425	  0.375
  5.805	  0.415	  0.375
  5.812	  0.415	  0.375
  5.820	  0.405	  0.365
  5.828	  0.395	  0.355
  5.836	  0.395	  0.345
  5.844	  0.385	  0.345
  5.852	  0.375	  0.335
  5.859	  0.375	  0.325
  5.867	  0.365	  0.315
  5.875	  0.355	  0.315
  5.883	  0.345	  0.305
  5.891	  0.345	  0.305
  5.898	  0.335	  0.295
  5.906	  0.325	  0.285
  5.914	  0.325	  0.285
  5.922	  0.315	  0.275
  5.930	  0.315	  0.265
  5.938	  0.305	  0.265
  5.945	  0.295	  0.265
  5.953	  0.295	  0.255
  5.961	  0.285	  0.245
  5.969	  0.275	  0.245
  5.977	  0.275	  0.235
  5.984	  0.265	  0.235
  5.992	  0.265	  0.225
  6.000	  0.255	  0.225
  6.008	  0.245	  0.215
  6.016	  0.245	  0.205
  6.023	  0.235	  0.205
  6.031	  0.235	  0.205
  6.039	  0.225	  0.195
  6.047	  0.215	  0.185
  6.055	  0.215	  0.185
  6.062	  0.215	  0.185
  6.070	  0.205	  0.175
  6.078	  0.195	  0.165
  6.086	  0.195	  0.165
  6.094	  0.185	  0.155
  6.102	  0.185	  0.155
  6.109	  0.175	  0.145
  6.117	  0.165	  0.145
  6.125	  0.165	  0.135
  6.133	  0.155	  0.135
  6.141	  0.145	  0.115
  6.148	  0.135	  0.115
  6.156	 -0.615	 -0.525
  6.164	 -0.665	 -0.595
  6.172	 -0.635	 -0.585
  6.180	 -0.635	 -0.575
  6.188	 -0.625	 -0.575
  6.195	 -0.625	 -0.565
  6.203	 -0.615	 -0.565
  6.211	 -0.605	 -0.555
  6.219	 -0.605	 -0.545
  6.227	 -0.595	 -0.545
  6.234	 -0.585	 -0.535
  6.242	 -0.575	 -0.535
  6.250	 -0.565	 -0.515
  6.258	 -0.565	 -0.515
  6.266	 -0.555	 -0.505
  6.273	 -0.545	 -0.505
  6.281	 -0.535	 -0.495
  6.289	 -0.525	 -0.485
  6.297	 -0.515	 -0.485
  6.305	 -0.515	 -0.475
  6.312	 -0.505	 -0.475
  6.320	 -0.495	 -0.465
  6.328	 -0.495	 -0.465
  6.336	 -0.495	 -0.455
  6.344	 -0.475	 -0.445
  6.352	 -0.475	 -0.435
  6.359	 -0.465	 -0.435
  6.367	 -0.465	 -0.425
  6.375	 -0.455	 -0.425
  6.383	 -0.445	 -0.415
  6.391	 -0.445	 -0.415
  6.398	 -0.435	 -0.405
  6.406	 -0.435	 -0.405
  6.414	 -0.425	 -0.395
  6.422	 -0.425	 -0.395
  6.430	 -0.415	 -0.385
  6.438	 -0.405	 -0.375
  6.445	 -0.405	 -0.375
  6.453	 -0.395	 -0.375
  6.461	 -0.385	 -0.365
  6.469	 -0.385	 -0.365
  6.477	 -0.375	 -0.355
  6.484	 -0.375	 -0.355
  6.492	 -0.365	 -0.345
  6.500	 -0.365	 -0.345
  6.508	 -0.355	 -0.335
  6.516	 -0.345	 -0.335
  6.523	 -0.345	 -0.325
  6.531	 -0.335	 -0.325
  6.539	 -0.335	 -0.315
  6.547	 -0.325	 -0.315
  6.555	 -0.325	 -0.305
  6.562	 -0.315	 -0.305
  6.570	 -0.305	 -0.305
  6.578	 -0.305	 -0.295
  6.586	 -0.295	 -0.295
  6.594	 -0.295	 -0.285
  6.602	 -0.285	 -0.285
  6.609	 -0.285	 -0.285
  6.617	 -0.275	 -0.275
  6.625	 -0.275	 -0.265
  6.633	 -0.265	 -0.265
  6.641	 -0.255	 -0.255
  6.648	 -0.235	 -0.245
  6.656	  0.295	  0.205
  6.664	  0.575	  0.475
  6.672	  0.535	  0.455
  6.680	  0.535	  0.445
  6.688	  0.525	  0.445
  6.695	  0.515	  0.445
  6.703	  0.505	  0.425
  6.711	  0.505	  0.425
  6.719	  0.495	  0.425
  6.727	  0.485	  0.415
  6.734	  0.475	  0.405
  6.742	  0.475	  0.395
  6.750	  0.465	  0.385
  6.758	  0.465	  0.385
  6.766	  0.445	  0.375
  6.773	  0.435	  0.365
  6.781	  0.425	  0.365
  6.789	  0.425	  0.355
