time	ignal 0	ignal 1
  0.252	 -0.030	 -0.360
  0.256	 -0.015	 -0.360
  0.260	 -0.025	 -0.340
  0.264	 -0.030	 -0.335
  0.268	 -0.035	 -0.320
  0.272	 -0.050	 -0.280
  0.276	 -0.045	 -0.220
  0.280	 -0.060	 -0.215
  0.284	 -0.045	 -0.140
  0.288	 -0.045	  0.070
  0.292	 -0.030	  0.350
  0.296	  0.000	  0.625
  0.300	  0.050	  0.785
  0.304	 -0.005	  0.880
  0.308	 -0.025	  0.890
  0.312	 -0.070	  0.790
  0.316	 -0.105	  0.555
  0.320	 -0.185	  0.195
  0.324	 -0.405	 -0.105
  0.328	 -0.690	 -0.145
  0.332	 -1.040	  0.040
  0.336	 -1.310	  0.085
  0.340	 -1.475	 -0.105
  0.344	 -1.545	 -0.420
  0.348	 -1.405	 -0.670
  0.352	 -1.055	 -0.780
  0.356	 -0.610	 -0.765
  0.360	 -0.255	 -0.735
  0.364	 -0.145	 -0.595
  0.368	 -0.125	 -0.530
  0.372	 -0.140	 -0.505
  0.376	 -0.165	 -0.505
  0.380	 -0.150	 -0.515
  0.384	 -0.100	 -0.510
  0.388	 -0.065	 -0.505
  0.392	 -0.005	 -0.500
  0.396	  0.030	 -0.500
  0.400	  0.085	 -0.450
  0.404	  0.060	 -0.495
  0.408	  0.075	 -0.500
  0.412	  0.055	 -0.510
  0.416	  0.060	 -0.470
  0.420	  0.070	 -0.475
  0.424	  0.075	 -0.470
  0.428	  0.105	 -0.475
  0.432	  0.095	 -0.475
  0.436	  0.110	 -0.470
  0.440	  0.095	 -0.480
  0.444	  0.115	 -0.460
  0.448	  0.110	 -0.480
  0.452	  0.100	 -0.465
  0.456	  0.100	 -0.480
  0.460	  0.100	 -0.490
  0.464	  0.115	 -0.490
  0.468	  0.115	 -0.490
  0.472	  0.110	 -0.470
  0.476	  0.120	 -0.505
  0.480	  0.105	 -0.480
  0.484	  0.115	 -0.460
  0.488	  0.115	 -0.485
  0.492	  0.120	 -0.485
  0.496	  0.110	 -0.495
  0.500	  0.100	 -0.490
  0.504	  0.110	 -0.490
  0.508	  0.100	 -0.510
  0.512	  0.080	 -0.505
  0.516	  0.080	 -0.485
  0.520	  0.100	 -0.500
  0.524	  0.080	 -0.505
  0.528	  0.095	 -0.510
  0.532	  0.110	 -0.505
  0.536	  0.095	 -0.490
  0.540	  0.085	 -0.505
  0.544	  0.090	 -0.510
  0.548	  0.095	 -0.475
  0.552	  0.105	 -0.490
  0.556	  0.100	 -0.470
  0.560	  0.115	 -0.465
  0.564	  0.090	 -0.450
  0.568	  0.080	 -0.435
  0.572	  0.085	 -0.415
  0.576	  0.070	 -0.390
  0.580	  0.065	 -0.385
  0.584	  0.090	 -0.365
  0.588	  0.090	 -0.330
  0.592	  0.060	 -0.320
  0.596	  0.045	 -0.325
  0.600	  0.055	 -0.300
  0.604	  0.050	 -0.290
  0.608	  0.015	 -0.280
  0.612	  0.025	 -0.270
  0.616	  0.020	 -0.250
  0.620	  0.020	 -0.260
  0.624	  0.010	 -0.255
  0.628	  0.030	 -0.255
  0.632	  0.015	 -0.265
  0.636	  0.005	 -0.255
  0.640	  0.005	 -0.265
  0.644	  0.005	 -0.275
  0.648	  0.015	 -0.255
  0.652	  0.005	 -0.255
  0.656	  0.010	 -0.265
  0.660	  0.015	 -0.280
  0.664	  0.010	 -0.300
  0.668	  0.030	 -0.285
  0.672	  0.030	 -0.290
  0.676	  0.020	 -0.285
  0.680	  0.005	 -0.285
  0.684	  0.025	 -0.305
  0.688	  0.015	 -0.290
  0.692	  0.035	 -0.300
  0.696	  0.035	 -0.305
  0.700	  0.040	 -0.295
  0.704	  0.020	 -0.285
  0.708	  0.030	 -0.320
  0.712	  0.035	 -0.305
  0.716	  0.050	 -0.320
  0.720	  0.065	 -0.315
  0.724	  0.055	 -0.315
  0.728	  0.045	 -0.325
  0.732	  0.070	 -0.315
  0.736	  0.065	 -0.320
  0.740	  0.050	 -0.315
  0.744	  0.060	 -0.315
  0.748	  0.055	 -0.320
  0.752	  0.050	 -0.320
  0.756	  0.050	 -0.300
  0.760	  0.050	 -0.290
  0.764	  0.050	 -0.315
  0.768	  0.060	 -0.335
  0.772	  0.050	 -0.315
  0.776	  0.055	 -0.315
  0.780	  0.040	 -0.315
  0.784	  0.065	 -0.310
  0.788	  0.050	 -0.305
  0.792	  0.045	 -0.305
  0.796	  0.045	 -0.285
  0.800	  0.035	 -0.295
  0.804	  0.050	 -0.290
  0.808	  0.045	 -0.310
  0.812	  0.035	 -0.280
  0.816	  0.040	 -0.280
  0.820	  0.035	 -0.300
  0.824	  0.035	 -0.310
  0.828	  0.035	 -0.300
  0.832	  0.025	 -0.315
  0.836	  0.040	 -0.310
  0.840	  0.035	 -0.310
  0.844	  0.060	 -0.315
  0.848	  0.025	 -0.295
  0.852	  0.040	 -0.285
  0.856	  0.045	 -0.285
  0.860	  0.025	 -0.310
  0.864	  0.025	 -0.300
  0.868	  0.040	 -0.285
  0.872	  0.030	 -0.280
  0.876	  0.020	 -0.295
  0.880	  0.020	 -0.290
  0.884	  0.015	 -0.305
  0.888	  0.020	 -0.305
  0.892	  0.020	 -0.310
  0.896	  0.005	 -0.315
  0.900	  0.015	 -0.290
  0.904	  0.010	 -0.295
  0.908	  0.040	 -0.305
  0.912	  0.010	 -0.320
  0.916	  0.015	 -0.300
  0.920	  0.025	 -0.305
  0.924	  0.015	 -0.320
  0.928	  0.010	 -0.305
  0.932	  0.020	 -0.300
  0.936	 -0.005	 -0.290
  0.940	  0.000	 -0.315
  0.944	  0.015	 -0.305
  0.948	  0.005	 -0.310
  0.952	  0.020	 -0.305
  0.956	  0.010	 -0.300
  0.960	  0.025	 -0.290
  0.964	  0.005	 -0.280
  0.968	  0.020	 -0.275
  0.972	  0.020	 -0.245
  0.976	  0.010	 -0.200
  0.980	  0.020	 -0.175
  0.984	  0.015	 -0.145
  0.988	  0.020	 -0.130
  0.992	  0.030	 -0.130
  0.996	  0.055	 -0.135
  1.000	  0.090	 -0.100
  1.004	  0.085	 -0.135
  1.008	  0.105	 -0.165
  1.012	  0.125	 -0.140
  1.016	  0.105	 -0.145
  1.020	  0.095	 -0.140
  1.024	  0.075	 -0.140
  1.028	  0.080	 -0.130
  1.032	  0.065	 -0.170
  1.036	  0.040	 -0.225
  1.040	  0.015	 -0.285
  1.044	 -0.020	 -0.285
  1.048	 -0.020	 -0.265
  1.052	 -0.035	 -0.245
  1.056	 -0.035	 -0.265
  1.060	 -0.075	 -0.240
  1.064	 -0.085	 -0.235
  1.068	 -0.080	 -0.245
  1.072	 -0.090	 -0.235
  1.076	 -0.060	 -0.265
  1.080	 -0.050	 -0.290
  1.084	 -0.035	 -0.300
  1.088	 -0.045	 -0.320
  1.092	 -0.040	 -0.330
  1.096	 -0.045	 -0.360
  1.100	 -0.030	 -0.340
  1.104	 -0.030	 -0.335
  1.108	 -0.010	 -0.320
  1.112	  0.005	 -0.325
  1.116	  0.025	 -0.340
  1.120	 -0.005	 -0.340
  1.124	  0.000	 -0.315
  1.128	  0.000	 -0.330
  1.132	 -0.015	 -0.310
  1.136	  0.000	 -0.310
  1.140	 -0.010	 -0.295
  1.144	  0.000	 -0.320
  1.148	 -0.030	 -0.315
  1.152	 -0.010	 -0.310
  1.156	 -0.030	 -0.300
  1.160	 -0.025	 -0.280
  1.164	 -0.010	 -0.260
  1.168	 -0.015	 -0.225
  1.172	 -0.035	 -0.190
  1.176	 -0.015	 -0.160
  1.180	 -0.025	 -0.015
  1.184	 -0.020	  0.235
  1.188	 -0.010	  0.510
  1.192	  0.045	  0.715
  1.196	  0.040	  0.830
  1.200	 -0.005	  0.880
  1.204	 -0.045	  0.830
  1.208	 -0.060	  0.665
  1.212	 -0.130	  0.370
  1.216	 -0.265	  0.020
  1.220	 -0.525	 -0.080
  1.224	 -0.875	  0.070
  1.228	 -1.210	  0.200
  1.232	 -1.440	  0.075
  1.236	 -1.515	 -0.215
  1.240	 -1.475	 -0.515
  1.244	 -1.200	 -0.650
  1.248	 -0.750	 -0.725
  1.252	 -0.335	 -0.690
  1.256	 -0.115	 -0.585
  1.260	 -0.080	 -0.490
  1.264	 -0.095	 -0.425
  1.268	 -0.125	 -0.435
  1.272	 -0.110	 -0.430
  1.276	 -0.095	 -0.440
  1.280	 -0.085	 -0.435
  1.284	 -0.025	 -0.440
  1.288	  0.070	 -0.415
  1.292	  0.095	 -0.440
  1.296	  0.090	 -0.415
  1.300	  0.065	 -0.415
  1.304	  0.090	 -0.410
  1.308	  0.105	 -0.405
  1.312	  0.115	 -0.400
  1.316	  0.130	 -0.405
  1.320	  0.115	 -0.390
  1.324	  0.110	 -0.400
  1.328	  0.155	 -0.415
  1.332	  0.125	 -0.400
  1.336	  0.130	 -0.405
  1.340	  0.115	 -0.385
  1.344	  0.110	 -0.390
  1.348	  0.120	 -0.405
  1.352	  0.120	 -0.420
  1.356	  0.125	 -0.390
  1.360	  0.110	 -0.400
  1.364	  0.105	 -0.405
  1.368	  0.125	 -0.405
  1.372	  0.140	 -0.400
  1.376	  0.140	 -0.405
  1.380	  0.140	 -0.380
  1.384	  0.120	 -0.400
  1.388	  0.125	 -0.410
  1.392	  0.125	 -0.400
  1.396	  0.140	 -0.400
  1.400	  0.110	 -0.415
  1.404	  0.120	 -0.410
  1.408	  0.130	 -0.415
  1.412	  0.120	 -0.415
  1.416	  0.100	 -0.410
  1.420	  0.110	 -0.430
  1.424	  0.100	 -0.420
  1.428	  0.110	 -0.420
  1.432	  0.090	 -0.430
  1.436	  0.120	 -0.425
  1.440	  0.085	 -0.415
  1.444	  0.085	 -0.400
  1.448	  0.105	 -0.375
  1.452	  0.090	 -0.385
  1.456	  0.100	 -0.360
  1.460	  0.090	 -0.370
  1.464	  0.080	 -0.360
  1.468	  0.075	 -0.320
  1.472	  0.065	 -0.335
  1.476	  0.075	 -0.315
  1.480	  0.075	 -0.280
  1.484	  0.045	 -0.275
  1.488	  0.055	 -0.280
  1.492	  0.035	 -0.235
  1.496	  0.055	 -0.260
  1.500	  0.045	 -0.230
  1.504	  0.035	 -0.195
  1.508	  0.050	 -0.205
  1.512	  0.035	 -0.215
  1.516	  0.020	 -0.200
  1.520	  0.005	 -0.200
  1.524	  0.025	 -0.195
  1.528	  0.025	 -0.185
  1.532	  0.010	 -0.190
  1.536	  0.015	 -0.180
  1.540	  0.000	 -0.180
  1.544	  0.020	 -0.185
  1.548	  0.020	 -0.195
  1.552	  0.010	 -0.225
  1.556	  0.005	 -0.180
  1.560	  0.005	 -0.195
  1.564	  0.045	 -0.195
  1.568	  0.015	 -0.205
  1.572	  0.035	 -0.195
  1.576	  0.030	 -0.215
  1.580	  0.035	 -0.195
  1.584	  0.045	 -0.200
  1.588	  0.035	 -0.215
  1.592	  0.035	 -0.205
  1.596	  0.025	 -0.210
  1.600	  0.065	 -0.205
  1.604	  0.045	 -0.205
  1.608	  0.055	 -0.205
  1.612	  0.055	 -0.210
  1.616	  0.070	 -0.220
  1.620	  0.050	 -0.210
  1.624	  0.055	 -0.210
  1.628	  0.050	 -0.205
  1.632	  0.050	 -0.200
  1.636	  0.040	 -0.210
  1.640	  0.050	 -0.200
  1.644	  0.070	 -0.195
  1.648	  0.070	 -0.195
  1.652	  0.045	 -0.205
  1.656	  0.080	 -0.215
  1.660	  0.080	 -0.185
  1.664	  0.080	 -0.205
  1.668	  0.070	 -0.215
  1.672	  0.060	 -0.190
  1.676	  0.065	 -0.190
  1.680	  0.075	 -0.190
  1.684	  0.060	 -0.190
  1.688	  0.070	 -0.215
  1.692	  0.045	 -0.210
  1.696	  0.070	 -0.205
  1.700	  0.055	 -0.185
  1.704	  0.035	 -0.195
  1.708	  0.055	 -0.195
  1.712	  0.055	 -0.200
  1.716	  0.050	 -0.215
  1.720	  0.060	 -0.190
  1.724	  0.060	 -0.215
  1.728	  0.025	 -0.205
  1.732	  0.050	 -0.205
  1.736	  0.015	 -0.200
  1.740	  0.035	 -0.215
  1.744	  0.030	 -0.190
  1.748	  0.020	 -0.210
  1.752	  0.030	 -0.220
  1.756	  0.030	 -0.205
  1.760	  0.015	 -0.180
  1.764	  0.010	 -0.180
  1.768	  0.030	 -0.200
  1.772	  0.020	 -0.170
  1.776	  0.030	 -0.170
  1.780	  0.020	 -0.190
  1.784	  0.015	 -0.190
  1.788	  0.025	 -0.195
  1.792	  0.025	 -0.190
  1.796	  0.015	 -0.190
  1.800	  0.035	 -0.180
  1.804	  0.025	 -0.195
  1.808	  0.035	 -0.180
  1.812	  0.025	 -0.185
  1.816	  0.000	 -0.190
  1.820	  0.030	 -0.175
  1.824	  0.025	 -0.180
  1.828	  0.030	 -0.195
  1.832	  0.015	 -0.185
  1.836	  0.010	 -0.180
  1.840	  0.010	 -0.170
  1.844	  0.005	 -0.165
  1.848	  0.020	 -0.165
  1.852	  0.005	 -0.120
  1.856	 -0.005	 -0.110
  1.860	  0.025	 -0.080
  1.864	  0.045	 -0.045
  1.868	  0.020	 -0.025
  1.872	  0.015	 -0.020
  1.876	  0.020	 -0.030
  1.880	  0.060	 -0.015
  1.884	  0.080	 -0.005
  1.888	  0.120	 -0.010
  1.892	  0.115	 -0.025
  1.896	  0.105	 -0.020
  1.900	  0.130	 -0.005
  1.904	  0.105	  0.025
  1.908	  0.095	  0.010
  1.912	  0.075	  0.005
  1.916	  0.070	 -0.040
  1.920	  0.045	 -0.080
  1.924	  0.030	 -0.130
  1.928	  0.025	 -0.125
  1.932	  0.005	 -0.120
  1.936	 -0.015	 -0.115
  1.940	 -0.030	 -0.105
  1.944	 -0.040	 -0.090
  1.948	 -0.050	 -0.120
  1.952	 -0.065	 -0.115
  1.956	 -0.055	 -0.110
  1.960	 -0.040	 -0.130
  1.964	 -0.015	 -0.140
  1.968	 -0.010	 -0.150
  1.972	 -0.020	 -0.190
  1.976	 -0.035	 -0.195
  1.980	 -0.045	 -0.210
  1.984	 -0.015	 -0.195
  1.988	  0.020	 -0.170
  1.992	  0.030	 -0.185
  1.996	  0.045	 -0.195
  2.000	  0.025	 -0.190
  2.004	  0.020	 -0.175
  2.008	  0.015	 -0.185
  2.012	  0.000	 -0.190
  2.016	  0.030	 -0.190
  2.020	  0.010	 -0.200
  2.024	  0.005	 -0.170
  2.028	  0.005	 -0.165
  2.032	 -0.005	 -0.200
  2.036	  0.000	 -0.165
  2.040	  0.010	 -0.170
  2.044	  0.000	 -0.150
  2.048	  0.000	 -0.110
  2.052	 -0.005	 -0.100
  2.056	  0.000	 -0.065
  2.060	 -0.005	  0.000
  2.064	 -0.010	  0.185
  2.068	  0.000	  0.450
  2.072	  0.020	  0.670
  2.076	  0.065	  0.855
  2.080	  0.035	  0.975
  2.084	 -0.035	  1.000
  2.088	 -0.075	  0.930
  2.092	 -0.125	  0.720
  2.096	 -0.185	  0.410
  2.100	 -0.385	  0.155
  2.104	 -0.675	  0.165
  2.108	 -1.000	  0.280
  2.112	 -1.255	  0.205
  2.116	 -1.385	 -0.060
  2.120	 -1.360	 -0.350
  2.124	 -1.205	 -0.525
  2.128	 -0.825	 -0.615
  2.132	 -0.385	 -0.610
  2.136	 -0.160	 -0.500
  2.140	 -0.120	 -0.405
  2.144	 -0.140	 -0.340
  2.148	 -0.150	 -0.330
  2.152	 -0.160	 -0.325
  2.156	 -0.140	 -0.320
  2.160	 -0.110	 -0.345
  2.164	 -0.040	 -0.330
  2.168	  0.005	 -0.330
  2.172	  0.045	 -0.305
  2.176	  0.065	 -0.300
  2.180	  0.055	 -0.320
  2.184	  0.090	 -0.335
  2.188	  0.080	 -0.335
  2.192	  0.065	 -0.310
  2.196	  0.075	 -0.320
  2.200	  0.060	 -0.340
  2.204	  0.070	 -0.310
  2.208	  0.060	 -0.315
  2.212	  0.075	 -0.315
  2.216	  0.075	 -0.315
  2.220	  0.085	 -0.330
  2.224	  0.085	 -0.320
  2.228	  0.090	 -0.320
  2.232	  0.100	 -0.315
  2.236	  0.095	 -0.320
  2.240	  0.080	 -0.320
  2.244	  0.080	 -0.315
  2.248	  0.075	 -0.340
  2.252	  0.070	 -0.320
  2.256	  0.080	 -0.340
  2.260	  0.080	 -0.335
  2.264	  0.070	 -0.340
  2.268	  0.070	 -0.340
  2.272	  0.090	 -0.355
  2.276	  0.070	 -0.365
  2.280	  0.090	 -0.360
  2.284	  0.070	 -0.365
  2.288	  0.065	 -0.375
  2.292	  0.050	 -0.380
  2.296	  0.055	 -0.380
  2.300	  0.075	 -0.355
  2.304	  0.055	 -0.375
  2.308	  0.055	 -0.370
  2.312	  0.060	 -0.385
  2.316	  0.060	 -0.390
  2.320	  0.045	 -0.380
  2.324	  0.070	 -0.380
  2.328	  0.050	 -0.375
  2.332	  0.030	 -0.370
  2.336	  0.040	 -0.365
  2.340	  0.055	 -0.320
  2.344	  0.050	 -0.330
  2.348	  0.040	 -0.310
  2.352	  0.040	 -0.285
  2.356	  0.030	 -0.260
  2.360	  0.030	 -0.255
  2.364	  0.015	 -0.225
  2.368	  0.010	 -0.235
  2.372	  0.015	 -0.225
  2.376	  0.000	 -0.185
  2.380	  0.000	 -0.170
  2.384	 -0.010	 -0.165
  2.388	 -0.010	 -0.170
  2.392	 -0.035	 -0.160
  2.396	 -0.015	 -0.160
  2.400	 -0.020	 -0.125
  2.404	 -0.025	 -0.140
  2.408	 -0.025	 -0.150
  2.412	 -0.040	 -0.160
  2.416	 -0.025	 -0.140
  2.420	 -0.025	 -0.165
  2.424	 -0.020	 -0.165
  2.428	 -0.015	 -0.160
  2.432	  0.005	 -0.165
  2.436	 -0.005	 -0.185
  2.440	  0.000	 -0.170
  2.444	  0.000	 -0.170
  2.448	 -0.005	 -0.160
  2.452	 -0.005	 -0.165
  2.456	  0.000	 -0.170
  2.460	  0.000	 -0.175
  2.464	  0.000	 -0.185
  2.468	  0.000	 -0.180
  2.472	  0.000	 -0.170
  2.476	  0.000	 -0.180
  2.480	 -0.005	 -0.180
  2.484	  0.005	 -0.175
  2.488	  0.000	 -0.175
  2.492	  0.000	 -0.180
  2.496	 -0.005	 -0.185
  2.500	  0.020	 -0.185
  2.504	  0.005	 -0.195
  2.508	  0.005	 -0.190
  2.512	  0.015	 -0.190
  2.516	 -0.010	 -0.180
  2.520	  0.010	 -0.190
  2.524	  0.010	 -0.175
  2.528	  0.000	 -0.180
  2.532	 -0.010	 -0.170
  2.536	  0.010	 -0.175
  2.540	  0.010	 -0.190
  2.544	  0.000	 -0.165
  2.548	  0.005	 -0.180
  2.552	  0.000	 -0.190
  2.556	  0.000	 -0.185
  2.560	  0.000	 -0.185
  2.564	  0.000	 -0.185
  2.568	 -0.005	 -0.165
  2.572	  0.005	 -0.175
  2.576	  0.010	 -0.180
  2.580	 -0.005	 -0.175
  2.584	 -0.020	 -0.190
  2.588	  0.000	 -0.180
  2.592	  0.000	 -0.180
  2.596	 -0.010	 -0.180
  2.600	 -0.005	 -0.175
  2.604	  0.005	 -0.185
  2.608	  0.000	 -0.185
  2.612	  0.000	 -0.200
  2.616	 -0.005	 -0.180
  2.620	 -0.010	 -0.195
  2.624	  0.000	 -0.195
  2.628	 -0.005	 -0.180
  2.632	  0.000	 -0.175
  2.636	  0.005	 -0.180
  2.640	 -0.005	 -0.160
  2.644	 -0.015	 -0.155
  2.648	 -0.020	 -0.175
  2.652	 -0.005	 -0.165
  2.656	  0.005	 -0.160
  2.660	 -0.005	 -0.180
  2.664	  0.000	 -0.170
  2.668	 -0.005	 -0.180
  2.672	  0.000	 -0.180
  2.676	  0.000	 -0.180
  2.680	  0.000	 -0.175
  2.684	  0.000	 -0.160
  2.688	 -0.015	 -0.170
  2.692	 -0.025	 -0.180
  2.696	 -0.005	 -0.190
  2.700	 -0.015	 -0.180
  2.704	  0.000	 -0.155
  2.708	  0.005	 -0.130
  2.712	  0.000	 -0.075
  2.716	 -0.010	 -0.045
  2.720	  0.000	 -0.015
  2.724	  0.010	 -0.005
  2.728	 -0.010	  0.000
  2.732	  0.030	 -0.010
  2.736	  0.055	 -0.015
  2.740	  0.075	 -0.015
  2.744	  0.080	 -0.020
  2.748	  0.100	 -0.025
  2.752	  0.090	  0.000
  2.756	  0.085	  0.000
  2.760	  0.075	  0.005
  2.764	  0.055	 -0.020
  2.768	  0.065	 -0.045
  2.772	  0.025	 -0.090
  2.776	  0.005	 -0.125
  2.780	  0.000	 -0.155
  2.784	 -0.025	 -0.145
  2.788	 -0.050	 -0.135
  2.792	 -0.045	 -0.135
  2.796	 -0.075	 -0.130
  2.800	 -0.065	 -0.110
  2.804	 -0.080	 -0.135
  2.808	 -0.060	 -0.155
  2.812	 -0.080	 -0.130
  2.816	 -0.055	 -0.140
  2.820	 -0.055	 -0.155
  2.824	 -0.035	 -0.200
  2.828	 -0.050	 -0.210
  2.832	 -0.045	 -0.210
  2.836	 -0.035	 -0.210
  2.840	  0.000	 -0.225
  2.844	  0.030	 -0.215
  2.848	  0.010	 -0.210
  2.852	  0.020	 -0.215
  2.856	  0.015	 -0.210
  2.860	  0.005	 -0.200
  2.864	 -0.010	 -0.200
  2.868	  0.010	 -0.215
  2.872	  0.000	 -0.210
  2.876	 -0.020	 -0.195
  2.880	 -0.010	 -0.205
  2.884	  0.000	 -0.190
  2.888	 -0.015	 -0.195
  2.892	 -0.005	 -0.170
  2.896	  0.000	 -0.145
  2.900	  0.000	 -0.120
  2.904	  0.000	 -0.105
  2.908	 -0.005	 -0.070
  2.912	 -0.010	  0.020
  2.916	  0.000	  0.210
  2.920	  0.000	  0.500
  2.924	  0.030	  0.750
  2.928	  0.040	  0.945
  2.932	  0.030	  1.065
  2.936	 -0.015	  1.105
  2.940	 -0.050	  1.020
  2.944	 -0.085	  0.810
  2.948	 -0.185	  0.445
  2.952	 -0.355	  0.155
  2.956	 -0.615	  0.125
  2.960	 -0.905	  0.225
  2.964	 -1.185	  0.200
  2.968	 -1.300	 -0.040
  2.972	 -1.340	 -0.320
  2.976	 -1.190	 -0.535
  2.980	 -0.840	 -0.620
  2.984	 -0.430	 -0.630
  2.988	 -0.185	 -0.545
  2.992	 -0.120	 -0.425
  2.996	 -0.140	 -0.380
  3.000	 -0.135	 -0.345
  3.004	 -0.140	 -0.345
  3.008	 -0.130	 -0.355
  3.012	 -0.115	 -0.365
  3.016	 -0.040	 -0.350
  3.020	  0.010	 -0.350
  3.024	  0.045	 -0.380
  3.028	  0.085	 -0.385
  3.032	  0.090	 -0.365
  3.036	  0.085	 -0.365
  3.040	  0.075	 -0.375
  3.044	  0.105	 -0.360
  3.048	  0.115	 -0.385
  3.052	  0.100	 -0.375
  3.056	  0.090	 -0.380
  3.060	  0.100	 -0.375
  3.064	  0.095	 -0.360
  3.068	  0.100	 -0.375
  3.072	  0.105	 -0.385
  3.076	  0.100	 -0.385
  3.080	  0.060	 -0.400
  3.084	  0.095	 -0.380
  3.088	  0.095	 -0.370
  3.092	  0.110	 -0.370
  3.096	  0.080	 -0.360
  3.100	  0.090	 -0.390
  3.104	  0.095	 -0.405
  3.108	  0.075	 -0.380
  3.112	  0.085	 -0.400
  3.116	  0.075	 -0.405
  3.120	  0.090	 -0.415
  3.124	  0.075	 -0.390
  3.128	  0.090	 -0.410
  3.132	  0.090	 -0.420
  3.136	  0.110	 -0.425
  3.140	  0.100	 -0.415
  3.144	  0.060	 -0.420
  3.148	  0.090	 -0.435
  3.152	  0.080	 -0.415
  3.156	  0.075	 -0.440
  3.160	  0.100	 -0.440
  3.164	  0.085	 -0.445
  3.168	  0.060	 -0.440
  3.172	  0.070	 -0.445
  3.176	  0.080	 -0.440
  3.180	  0.070	 -0.415
  3.184	  0.070	 -0.435
  3.188	  0.055	 -0.415
  3.192	  0.055	 -0.415
  3.196	  0.060	 -0.380
  3.200	  0.070	 -0.370
  3.204	  0.055	 -0.360
  3.208	  0.050	 -0.335
  3.212	  0.025	 -0.340
  3.216	  0.040	 -0.300
  3.220	  0.020	 -0.285
  3.224	  0.015	 -0.285
  3.228	  0.005	 -0.295
  3.232	  0.005	 -0.260
  3.236	  0.010	 -0.225
  3.240	  0.000	 -0.240
  3.244	  0.000	 -0.230
  3.248	 -0.005	 -0.205
  3.252	 -0.015	 -0.190
  3.256	 -0.005	 -0.215
  3.260	  0.000	 -0.215
  3.264	  0.000	 -0.220
  3.268	 -0.015	 -0.220
  3.272	  0.000	 -0.210
  3.276	  0.020	 -0.215
  3.280	  0.000	 -0.235
  3.284	  0.000	 -0.240
  3.288	  0.010	 -0.215
  3.292	  0.000	 -0.225
  3.296	  0.015	 -0.225
  3.300	  0.020	 -0.235
  3.304	  0.010	 -0.235
  3.308	  0.025	 -0.245
  3.312	  0.020	 -0.235
  3.316	  0.010	 -0.240
  3.320	  0.025	 -0.255
  3.324	  0.030	 -0.250
  3.328	  0.035	 -0.260
  3.332	  0.020	 -0.250
  3.336	  0.020	 -0.265
  3.340	  0.035	 -0.245
  3.344	  0.040	 -0.250
  3.348	  0.025	 -0.240
  3.352	  0.060	 -0.260
  3.356	  0.040	 -0.265
  3.360	  0.045	 -0.250
  3.364	  0.025	 -0.260
  3.368	  0.065	 -0.260
  3.372	  0.060	 -0.230
  3.376	  0.060	 -0.260
  3.380	  0.050	 -0.255
  3.384	  0.045	 -0.245
  3.388	  0.045	 -0.265
  3.392	  0.055	 -0.250
  3.396	  0.045	 -0.255
  3.400	  0.055	 -0.260
  3.404	  0.050	 -0.265
  3.408	  0.025	 -0.255
  3.412	  0.030	 -0.250
  3.416	  0.035	 -0.270
  3.420	  0.055	 -0.260
  3.424	  0.055	 -0.260
  3.428	  0.045	 -0.260
  3.432	  0.045	 -0.260
